name,calories_per_100g,country,category
Kebab 0,465,USA,Beverage
Sandwich 1,251,India,Beverage
Soup 2,477,USA,Grain
Poha 3,407,UK,Grain
Steak 4,416,China,Beverage
Biryani 5,73,Italy,Bakery
Steak 6,423,Italy,Bakery
Ramen 7,383,Mexico,Bakery
Kebab 8,473,France,Dessert
Hummus 9,333,India,Fast Food
Tea 10,461,India,Fruit
Chicken Curry 11,175,Mexico,Fruit
Salad 12,464,China,Fast Food
Jollof Rice 13,333,Italy,Dessert
Rice 14,134,Japan,Beverage
Pasta 15,342,France,Beverage
Tea 16,94,Middle East,Grain
Idli 17,197,USA,Grain
Noodles 18,427,UK,Bakery
Sandwich 19,193,France,Protein
Egg Omelette 20,172,USA,Protein
Milk 21,314,India,Protein
Idli 22,62,Italy,Beverage
Biryani 23,68,India,Protein
Poha 24,143,Japan,Dessert
Biryani 25,138,USA,Snack
Coffee 26,70,Italy,Vegetable
Idli 27,271,USA,Vegetable
Salad 28,209,France,Grain
Fish Fry 29,477,Middle East,Grain
Fried Rice 30,481,UK,Bakery
Kebab 31,492,UK,Fruit
Sandwich 32,181,Middle East,Fast Food
Kebab 33,469,China,Snack
Fries 34,93,France,Dessert
Hummus 35,83,China,Protein
Paneer 36,91,USA,Fast Food
Fries 37,58,Mexico,Fruit
Pizza 38,487,Mexico,Vegetable
Dosa 39,73,Nigeria,Beverage
Fries 40,287,Nigeria,Vegetable
Ramen 41,253,India,Snack
Roti 42,259,Middle East,Fruit
Ramen 43,162,Nigeria,Protein
Croissant 44,86,Italy,Grain
Couscous 45,379,Mexico,Beverage
Couscous 46,384,Nigeria,Bakery
Poha 47,332,China,Vegetable
Dosa 48,277,UK,Dessert
Milk 49,264,UK,Beverage
Sandwich 50,212,Japan,Dessert
Juice 51,93,USA,Bakery
Dosa 52,292,France,Fast Food
Dosa 53,216,Middle East,Snack
Pizza 54,421,Italy,Dessert
Burger 55,242,France,Snack
Salad 56,52,UK,Grain
Egg Omelette 57,344,Japan,Bakery
Pasta 58,417,France,Beverage
Roti 59,235,Middle East,Snack
Salad 60,172,USA,Bakery
Falafel 61,154,Italy,Protein
Sandwich 62,78,UK,Bakery
Fish Fry 63,324,Middle East,Beverage
Idli 64,399,China,Fast Food
Fries 65,84,Nigeria,Protein
Juice 66,113,Mexico,Beverage
Noodles 67,362,Mexico,Snack
Biryani 68,76,Italy,Protein
Dosa 69,281,China,Protein
Sandwich 70,255,China,Bakery
Roti 71,144,France,Protein
Steak 72,197,India,Protein
Biryani 73,492,Italy,Vegetable
Milk 74,52,Mexico,Grain
